City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,yemva,62.59,50.8594,37.06,98,100,5.53,RU,1682472941
342,argo,37.6333,22.7333,57.78,71,100,5.21,GR,1682472941
343,shortandy,51.7006,70.9994,50.77,63,0,7.99,KZ,1682472941
344,kudahuvadhoo,2.6708,72.8944,83.41,75,86,9.17,MV,1682472941
345,zambezi,-13.5432,23.1047,59.04,62,6,4.61,ZM,1682472942
346,peniche,39.3558,-9.3811,58.28,93,40,8.41,PT,1682472942
347,alenquer,-1.9417,-54.7383,75.43,93,98,2.13,BR,1682472942
348,aden,12.7794,45.0367,82.2,78,11,9.4,YE,1682472803
349,parambu,-6.2111,-40.6944,68.25,85,80,1.9,BR,1682472943
350,bunia,1.5667,30.25,62.4,94,100,2.89,CD,1682472943
351,as sulayyil,20.4607,45.5779,73.65,53,74,6.85,SA,1682472943
352,calvinia,-31.4707,19.776,58.75,61,3,1.97,ZA,1682472943
353,rockland,41.1668,-74.0496,52.05,65,17,4.54,US,1682472943
354,achacachi,-16.05,-68.6833,41.86,80,5,4.61,BO,1682472944
355,yemel'yanovo,56.1681,92.6767,31.08,80,40,6.71,RU,1682472944
356,la passe,45.5549,-0.8967,53.83,98,100,7.31,FR,1682472944
357,khandyga,62.6667,135.6,36.75,83,89,3.71,RU,1682472944
358,waimea,20.0231,-155.6717,73.45,78,40,1.99,US,1682472944
359,berea,41.3662,-81.8543,46.76,86,100,6.91,US,1682472945
360,tosontsengel,48.7567,98.2839,23.32,31,51,25.19,MN,1682472945
361,kyzyl-suu,42.3414,78.0056,43.75,45,4,1.97,KG,1682472945
